z,Surv,z1,Repr,Sex,Recr,Rcsz
1.8674726694727284,0,,,,,
1.9392236517897183,0,,,,,
1.982903166968222,0,,,,,
2.0475296086079453,0,,,,,
2.0736578560541394,0,,,,,
2.0832809012749864,0,,,,,
2.0860750866029307,0,,,,,
2.091260005406599,0,,,,,
2.115366644959173,1,2.5451009537410627,0.0,,,
2.1355750636218627,0,,,,,
2.1506085140699045,0,,,,,
2.1654431544230683,1,2.5229058493799297,1.0,0.0,,
2.165573644142883,0,,,,,
2.1750292177849255,0,,,,,
2.1770986829965464,0,,,,,
2.1867529615252077,1,2.763881482453852,1.0,0.0,,
2.1911206024681777,0,,,,,
2.1976722226198864,0,,,,,
2.2084926507065057,0,,,,,
2.213374863954504,0,,,,,
2.218083638435955,0,,,,,
2.2466996162335993,0,,,,,
2.2491963971001634,1,2.575965803167546,1.0,0.0,,
2.2527477466507486,0,,,,,
2.2612753801369867,1,2.8175666793416267,1.0,1.0,0.0,
2.2655123529047807,0,,,,,
2.2681162457664508,0,,,,,
2.2698784861343517,0,,,,,
2.2705035002404332,1,2.566256218476608,0.0,,,
2.2788303269483183,1,2.7048826928127,1.0,0.0,,
2.2813015584877046,0,,,,,
2.2935759294932208,0,,,,,
2.2984175697285285,1,2.838147558518652,1.0,0.0,,
2.3014066744456714,0,,,,,
2.3023694026894472,0,,,,,
2.3071243830760517,1,2.6464090303441776,0.0,,,
2.3082849271052543,0,,,,,
2.3193409698845686,1,2.6864968081993044,0.0,,,
2.3232706059638453,0,,,,,
2.3292339012604666,0,,,,,
2.34117601021324,0,,,,,
2.3464872133894996,0,,,,,
2.3505870269202545,0,,,,,
2.3533335422851276,0,,,,,
2.3541354383329933,0,,,,,
2.360011286811553,0,,,,,
2.3603970156447973,1,2.711268125267811,0.0,,,
2.3622152607561047,0,,,,,
2.3631667482225125,1,2.6532553383419852,0.0,,,
2.3633994756660672,0,,,,,
2.3727595476187813,1,2.6915827037646376,0.0,,,
2.377523149967507,0,,,,,
2.378476794676409,1,2.702001346519874,1.0,0.0,,
2.3813624114457905,0,,,,,
