z,Surv,z1,Repr,Sex,Recr,Rcsz,yr
1.8457297650041835,0,,,,,,161
1.966928351098425,0,,,,,,161
1.982903166968222,0,,,,,,161
1.9903437091047769,0,,,,,,161
2.0043056285242224,0,,,,,,161
2.0240657187388282,0,,,,,,161
2.037610143027126,0,,,,,,161
2.06607135267133,0,,,,,,161
2.0744815605690747,1,2.448564373138183,0.0,,,,161
2.091260005406599,0,,,,,,161
2.095975351750581,0,,,,,,161
2.1069797269155197,0,,,,,,161
2.1389513271219696,0,,,,,,161
2.1633636773871263,1,2.482961701157447,1.0,1.0,1.0,2.0967720887865555,161
2.1641649626113457,1,2.5738590876799012,0.0,,,,161
2.165573644142883,0,,,,,,161
2.170812681036724,0,,,,,,161
2.189220966588941,0,,,,,,161
2.1965151793318234,0,,,,,,161
2.214185945391364,0,,,,,,161
2.218083638435955,0,,,,,,161
2.2372968370281496,0,,,,,,161
2.2378788330467314,0,,,,,,161
2.2498144596452243,0,,,,,,161
2.2550824162175593,0,,,,,,161
2.256278232553144,0,,,,,,161
2.2679998446072562,0,,,,,,161
2.2705035002404332,1,2.566256218476608,0.0,,,,161
2.2749007337893254,1,2.591719125324881,1.0,1.0,1.0,2.047723963159728,161
2.278967251223969,0,,,,,,161
2.2923598616551377,0,,,,,,161
2.2963125438108896,1,2.6393227142201163,0.0,,,,161
2.296817006504559,0,,,,,,161
2.305730975818407,0,,,,,,161
2.306748007168793,0,,,,,,161
2.3104531554708374,0,,,,,,161
2.313396206508765,0,,,,,,161
2.3154888207478352,0,,,,,,161
2.3222364475472244,0,,,,,,161
2.3235251707913656,1,2.7372888866102123,0.0,,,,161
2.3292339012604666,0,,,,,,161
2.3300367520477843,1,2.8168376717733157,1.0,0.0,,,161
2.336407499913923,0,,,,,,161
2.3376400335380527,0,,,,,,161
2.340981181004265,0,,,,,,161
2.34117601021324,0,,,,,,161
2.346951526005535,0,,,,,,161
2.3478890088721682,1,2.6276786137216055,0.0,,,,161
2.3505870269202545,0,,,,,,161
2.3510835454965284,1,2.7628145320292337,1.0,0.0,,,161
2.3522526827868773,1,2.776735656664441,0.0,,,,161
2.3525463583256796,1,2.638170363183874,1.0,0.0,,,161
2.353503731216683,0,,,,,,161
2.3541354383329933,0,,,,,,161
2.360011286811553,0,,,,,,161
2.363822107209574,1,2.71820936496038,0.0,,,,161
2.3713919299442816,1,2.5988873495426126,0.0,,,,161
2.373789288713306,0,,,,,,161
2.3818576205972413,0,,,,,,161
2.385724900982577,1,2.862479036042142,1.0,0.0,,,161
2.3956641135570127,0,,,,,,161
2.3995928490738563,0,,,,,,161
2.4041021913233944,1,2.7396783957459134,0.0,,,,161
2.4041352431614467,0,,,,,,161
2.4044184111345555,0,,,,,,161
2.4071800150852534,1,2.7788488651402528,0.0,,,,161
2.4082648303281204,0,,,,,,161
2.4134926148183706,1,2.768398165039631,1.0,1.0,1.0,2.18938600573954,161
2.4138246487418025,1,2.7708840835575534,0.0,,,,161
2.414368786453013,0,,,,,,161
2.4150604309897843,1,2.5763231817893484,1.0,0.0,,,161
2.4165585870675725,0,,,,,,161
2.417506593096664,1,2.762582109175062,0.0,,,,161
2.4200776088468956,0,,,,,,161
2.4288314575457126,0,,,,,,161
2.429073618779943,0,,,,,,161
2.432852511616852,1,2.5789164520505246,0.0,,,,161
2.4329538017791266,0,,,,,,161
2.4333123563764105,0,,,,,,161
2.43411471526217,0,,,,,,161
2.434877576878922,1,2.7026919446234654,0.0,,,,161
2.4351113499797963,0,,,,,,161
2.4396101786200686,0,,,,,,161
2.4516811396871048,1,2.8920758127563704,0.0,,,,161
2.454558357307041,0,,,,,,161
2.456093675597746,0,,,,,,161
2.4575576495228812,1,2.8100757914290893,1.0,1.0,1.0,2.163504161236818,161
2.4583374485856186,0,,,,,,161
2.458346698421218,1,2.8425764394221016,0.0,,,,161
2.459619522022896,0,,,,,,161
2.461039334572863,0,,,,,,161
2.4682888191576815,0,,,,,,161
2.4686995813185177,1,2.7181514811745497,0.0,,,,161
2.4704377829980806,0,,,,,,161
2.4729198184620933,0,,,,,,161
2.47431262859693,0,,,,,,161
2.4749538520517977,1,2.7906944686300177,0.0,,,,161
2.4770742327247297,0,,,,,,161
2.4770867654228446,0,,,,,,161
2.4815519319657966,0,,,,,,161
2.484519187243751,0,,,,,,161
2.4863526238620786,0,,,,,,161
2.4923743491992796,0,,,,,,161
2.496943883748348,1,2.729279107102926,0.0,,,,161
2.5003242229347618,1,2.855135644105879,0.0,,,,161
2.501648603799933,1,2.753619725200874,0.0,,,,161
2.5082391528575556,1,2.772484967164005,1.0,1.0,1.0,2.2126921603643765,161
2.508617371337394,0,,,,,,161
2.5188983802572373,0,,,,,,161
2.5203935052953383,1,2.899027306038442,1.0,1.0,1.0,1.9231294381842092,161
2.524385864133182,1,2.777018243440981,1.0,0.0,,,161
2.525476189638551,1,2.644823204220463,0.0,,,,161
2.527079238108688,1,2.845847866752057,0.0,,,,161
2.527611120327967,1,2.849261228219669,1.0,0.0,,,161
2.529257258946741,1,2.7936684635832547,1.0,1.0,0.0,,161
2.532536603292878,0,,,,,,161
2.5330968279849784,0,,,,,,161
2.535388688451811,0,,,,,,161
2.5465294376232848,0,,,,,,161
2.5467385343298874,0,,,,,,161
2.5474124434323606,1,2.768019414088164,0.0,,,,161
2.550664045431543,1,2.882275404159561,1.0,1.0,1.0,2.4677341583900563,161
2.554715715564669,1,2.8957802174377147,1.0,0.0,,,161
2.55732120322696,1,2.7980984025628244,0.0,,,,161
2.557442370147663,1,2.904761261674252,0.0,,,,161
2.558272623446925,0,,,,,,161
2.560621792588406,1,2.9389590504091316,0.0,,,,161
2.5646264352050223,1,2.831886013616677,1.0,1.0,0.0,,161
2.571272484323587,1,2.7557962545867913,0.0,,,,161
2.571325012016693,1,2.7162540889124864,0.0,,,,161
2.578522348462901,0,,,,,,161
2.586698851472594,0,,,,,,161
2.587029702729979,1,2.912322765788786,0.0,,,,161
2.5926252274803403,0,,,,,,161
2.592751445176603,1,2.9616667805420502,1.0,1.0,1.0,2.0820385628512885,161
2.5932015972171754,1,2.9481419033136684,0.0,,,,161
2.594018678049154,1,2.9546806722579753,1.0,0.0,,,161
2.5946153869499518,1,3.1446215114466094,0.0,,,,161
2.5955695522733464,1,2.8523710065206274,0.0,,,,161
2.5966807082482157,1,2.7724947341418393,0.0,,,,161
2.60172991989548,0,,,,,,161
2.6019052029535907,0,,,,,,161
2.6028274089025416,1,2.796002757911763,1.0,0.0,,,161
2.6056200246285353,1,2.7663720375363696,0.0,,,,161
2.610106931767402,1,2.8350972053639096,1.0,0.0,,,161
2.6136775449950496,0,,,,,,161
2.6153612919635734,1,2.8804995753469007,0.0,,,,161
2.616528192530375,0,,,,,,161
2.6199269778000733,1,2.9432766700085056,0.0,,,,161
2.620746337864525,0,,,,,,161
2.623176353763454,1,2.8765187076416745,0.0,,,,161
2.6232238576825857,1,2.70800266608449,0.0,,,,161
2.6265135047191808,0,,,,,,161
2.6271342871679852,1,2.919088268236624,1.0,1.0,1.0,1.973277042740365,161
2.6277803104164144,0,,,,,,161
2.629271953235163,1,2.902463107434556,0.0,,,,161
2.633010863194443,0,,,,,,161
2.636117644857675,0,,,,,,161
2.639011553388204,1,2.855976275053386,0.0,,,,161
2.6474274926646566,0,,,,,,161
2.648162952463511,0,,,,,,161
2.6484127327745686,0,,,,,,161
2.6498771958500935,1,2.812351445904354,1.0,0.0,,,161
2.6499178190249744,0,,,,,,161
2.649996144690822,0,,,,,,161
2.6501627005112,1,2.882147283728551,1.0,0.0,,,161
2.6505440025005575,0,,,,,,161
2.6505573689791277,0,,,,,,161
2.652774981669657,0,,,,,,161
2.6553039359386092,1,2.9782456769194954,0.0,,,,161
2.6560147820365527,0,,,,,,161
2.6576318171425966,0,,,,,,161
2.6610640557921466,1,2.9673585899682156,0.0,,,,161
2.665966024822838,0,,,,,,161
2.6721258130368737,0,,,,,,161
2.6801889258879528,1,2.954368828557928,1.0,1.0,1.0,2.3457163913746326,161
2.6804589735554107,1,2.938237958552513,1.0,0.0,,,161
2.683970850545045,0,,,,,,161
2.6844936187306057,1,2.9105166544811336,0.0,,,,161
2.6850992453842686,1,3.054109788820302,0.0,,,,161
2.6881811778066393,1,2.9390309343404577,0.0,,,,161
2.688590465554516,1,2.9209006111840616,0.0,,,,161
2.6910128357121805,1,2.9090677537069283,0.0,,,,161
2.6918447035628916,0,,,,,,161
2.695823398768028,1,2.890237540924468,0.0,,,,161
2.7006332813416587,1,2.965741919973881,0.0,,,,161
2.701198122110631,1,2.9163063939950913,0.0,,,,161
2.7014644835908213,0,,,,,,161
2.7020081773204185,1,2.8641228991612078,1.0,0.0,,,161
2.702460132393506,1,2.9201636821377335,1.0,1.0,1.0,2.2895511224525835,161
2.703826379251275,1,2.9698929167062316,1.0,1.0,0.0,,161
2.7049500665305595,0,,,,,,161
2.7085670775038473,1,2.9257139047979743,1.0,0.0,,,161
2.7099605996831397,1,2.9982949059725303,0.0,,,,161
2.7162933285262807,1,2.9078258200075506,1.0,1.0,1.0,2.3423509092903916,161
2.716687463202621,1,2.920858992332226,1.0,0.0,,,161
2.7179117423222547,1,2.9589411977160345,1.0,1.0,1.0,2.2477581608135084,161
2.718900330794876,0,,,,,,161
2.7201869947735116,1,2.8869291999282347,1.0,0.0,,,161
2.7214783827269224,1,2.9119942441379587,1.0,0.0,,,161
2.7253679385790237,0,,,,,,161
2.7270283411037917,1,2.999588774267182,0.0,,,,161
2.7275112952137963,1,2.825355997227648,1.0,1.0,1.0,2.0673015003904633,161
2.730586422459029,1,2.860224968983295,1.0,0.0,,,161
2.7307416497029147,1,2.903478805962203,0.0,,,,161
2.7307523951787505,0,,,,,,161
2.7309827765715613,0,,,,,,161
2.7315032851744596,0,,,,,,161
2.7321694376332237,1,2.866626858801559,1.0,0.0,,,161
2.732409838388312,1,3.0347887857203815,1.0,1.0,1.0,2.291287341633919,161
2.7358767558743047,1,3.076194756453452,0.0,,,,161
2.7369842712221466,1,2.9638868186678873,1.0,1.0,1.0,2.5260401679925732,161
2.7379973166293903,1,2.8837738507186934,0.0,,,,161
2.741806719794146,0,,,,,,161
2.7447726450201273,1,2.999604073175494,0.0,,,,161
2.7447749546023386,1,2.9367869322421516,1.0,1.0,1.0,2.5520785577232936,161
2.7466898907326964,1,2.9636117874183827,1.0,1.0,1.0,2.2585743696498466,161
2.7473579362249643,1,3.0607470205295746,1.0,0.0,,,161
2.7482216038576186,1,3.045055172039643,0.0,,,,161
2.7508412381139706,0,,,,,,161
2.7548120343130296,1,2.94900095568119,0.0,,,,161
2.758717720055068,0,,,,,,161
2.759552228383473,1,3.1002737379738106,1.0,0.0,,,161
2.7602974184378026,0,,,,,,161
2.7605963965455986,1,3.10590427825911,0.0,,,,161
2.761058787827806,1,2.9620691080695454,0.0,,,,161
2.7611319075177723,1,2.981180865852318,1.0,0.0,,,161
2.7641541994449312,0,,,,,,161
2.764773232039626,1,2.987723044827803,0.0,,,,161
2.7651930717380404,0,,,,,,161
2.76524038996653,1,3.0461802205978765,0.0,,,,161
2.7697823972570856,1,2.9674665218330483,0.0,,,,161
2.7701133828432964,1,2.8871329963295067,1.0,1.0,1.0,2.205659353284338,161
2.7704453355704874,1,2.9136856261015134,1.0,1.0,0.0,,161
2.771643632240788,1,2.9793871949538153,1.0,1.0,1.0,2.4687323446345677,161
2.7727034979921017,1,2.952393981795489,0.0,,,,161
2.7732619836982377,0,,,,,,161
2.773481463360566,0,,,,,,161
2.773654684432136,1,2.971080587796258,1.0,1.0,0.0,,161
2.774695864227936,0,,,,,,161
2.7748662978905054,0,,,,,,161
2.7774414307405952,0,,,,,,161
2.7842859465674867,1,3.0789065580792774,1.0,0.0,,,161
2.7851077263057715,0,,,,,,161
2.7891403275258213,1,3.073963546959992,1.0,1.0,0.0,,161
2.7895112835684577,1,3.0653281558747136,0.0,,,,161
2.7895477738089722,0,,,,,,161
2.789873025536668,1,2.931988745308325,0.0,,,,161
2.7899064992009057,0,,,,,,161
2.7931752536467434,1,2.953717711067747,1.0,1.0,1.0,2.199940995134951,161
2.794607765039188,0,,,,,,161
2.797483691273692,1,2.882961245357429,0.0,,,,161
2.8016078016651456,0,,,,,,161
2.8028739153973583,0,,,,,,161
2.805538699875666,0,,,,,,161
2.8083263907228075,0,,,,,,161
2.8112716396033024,1,2.9653377385262947,1.0,1.0,1.0,2.255263843300219,161
2.812748873378628,1,2.994253007663195,1.0,1.0,1.0,2.1484528386185655,161
2.8173889549738282,1,3.0781463477341027,1.0,1.0,1.0,2.4299222904256084,161
2.8184035972365638,1,2.9564439456457405,1.0,0.0,,,161
2.8203675234422607,1,2.966070167561272,1.0,1.0,1.0,2.304486404346983,161
2.822104672613633,0,,,,,,161
2.82523598124972,1,2.970070862589877,0.0,,,,161
2.826263017307677,1,3.033720077434473,1.0,0.0,,,161
2.827011883469167,1,2.9654583411327846,1.0,0.0,,,161
2.827343927381005,0,,,,,,161
2.8276650185961856,1,3.0115760090778516,0.0,,,,161
2.8280842237621844,1,3.0762396735577497,1.0,1.0,1.0,2.271467697227579,161
2.828338283066011,1,3.0497294904632324,1.0,0.0,,,161
2.8293741232093006,1,2.971694138788978,0.0,,,,161
2.830891289447402,1,2.9536706471874696,1.0,1.0,1.0,2.212630870524621,161
2.831117041206121,0,,,,,,161
2.846576879080849,1,3.0346506476247326,0.0,,,,161
2.849959515777019,1,3.0191333373240306,1.0,0.0,,,161
2.852498017408295,0,,,,,,161
2.8535253979429434,1,2.9562164603334145,1.0,0.0,,,161
2.8541887322532156,1,2.9792859949192363,1.0,1.0,1.0,2.5164288214611785,161
2.854737576663096,1,2.945878599907831,0.0,,,,161
2.8565582961294473,0,,,,,,161
2.8567914859243038,1,2.9355858507298014,1.0,1.0,1.0,2.3257050199209424,161
2.8594431349569702,1,2.8981894094669745,0.0,,,,161
2.8607262345823767,1,2.974355541157962,1.0,1.0,1.0,2.5506365717602857,161
2.8607844373561746,0,,,,,,161
2.8608110172833547,1,3.113881120228284,1.0,1.0,1.0,2.0057244442163733,161
2.8642294856323636,1,3.0525892175237943,1.0,1.0,1.0,2.6957564048299285,161
2.865938391718215,0,,,,,,161
2.870311104710461,1,2.9345888823360644,1.0,1.0,1.0,2.402647141161683,161
2.871362476331706,1,3.1224511635455006,0.0,,,,161
2.8721897225343516,1,3.0689719467833454,0.0,,,,161
2.872249275393701,1,2.9637575356321046,0.0,,,,161
2.874475645231118,0,,,,,,161
2.8745395295137923,1,2.9611829848059767,0.0,,,,161
2.8760135521329793,1,2.9387834653527922,1.0,1.0,0.0,,161
2.8762026536872356,1,2.9502181737463173,1.0,1.0,1.0,2.2228052887762075,161
2.8769949260251497,1,2.9134669343647444,1.0,0.0,,,161
2.878040642671857,1,3.1460667634227555,0.0,,,,161
2.88564262207926,1,2.904991250951778,1.0,1.0,1.0,2.4847495988825123,161
2.8870887176832096,0,,,,,,161
2.889924876573964,1,3.108867166264186,0.0,,,,161
2.8927741284823596,1,3.02648535356051,1.0,1.0,1.0,2.6505212503126496,161
2.8928023745861036,0,,,,,,161
2.8930949297053097,1,3.171079206030555,0.0,,,,161
2.8931604651555176,0,,,,,,161
2.893281218613791,0,,,,,,161
2.8936961107927752,1,3.0942972693542545,1.0,0.0,,,161
2.8948049356797134,1,2.98929469400305,0.0,,,,161
2.8984645061616003,1,2.9004769623814797,1.0,1.0,1.0,2.2180686611619316,161
2.8990227442601912,1,3.0112099795429086,1.0,0.0,,,161
2.900135906089715,0,,,,,,161
2.9004598994002415,1,3.1189373938942793,0.0,,,,161
2.9027482585777427,1,3.104114273532766,1.0,1.0,1.0,2.434986007936809,161
2.9033401838755757,1,2.9163910470321075,1.0,1.0,1.0,2.1942677744760393,161
2.9054544419018726,1,3.0963446339355403,1.0,1.0,1.0,2.24645047771142,161
2.9057042211422694,0,,,,,,161
2.907701353889642,1,2.954236196974543,1.0,0.0,,,161
2.907900003207734,0,,,,,,161
2.9106864753529877,1,2.9351091068496786,0.0,,,,161
2.9133764928872363,0,,,,,,161
