z,Surv,z1,Repr,Sex,Recr,Rcsz,yr
2.451144045773124,1,2.687834601255547,1.0,0.0,,,1
2.5112873173114934,1,2.8719622946733714,0.0,,,,1
2.502260493571127,1,2.6814232950295342,0.0,,,,1
2.6689927825744895,1,2.77387300457212,1.0,0.0,,,1
2.5870310380857244,1,2.9224045752625454,0.0,,,,1
2.6466576292805373,1,2.821868984555348,1.0,0.0,,,1
2.7605742581144375,1,2.858738147525662,1.0,0.0,,,1
2.7629420611991677,1,3.0771833004674805,0.0,,,,1
2.702093074160489,1,2.8478875374844654,0.0,,,,1
2.554887776058135,0,,,,,,1
2.5065326840767668,1,2.8548913086089227,1.0,1.0,1.0,2.332995470942817,1
2.497012838889499,0,,,,,,1
2.571884623551942,1,2.8409310108564907,1.0,0.0,,,1
2.6183814437569155,1,2.8795527368353007,1.0,0.0,,,1
2.471980356711656,0,,,,,,1
2.4461920515107543,1,2.7775380615036256,0.0,,,,1
2.6751498684161876,1,2.978683184108568,0.0,,,,1
2.3321739987485635,0,,,,,,1
2.5984022357281646,1,2.9730146022670314,0.0,,,,1
2.694246281355078,0,,,,,,1
2.469900628212781,0,,,,,,1
2.4496153716030493,0,,,,,,1
2.505627507524365,0,,,,,,1
2.7295708446231104,1,2.858140260008896,0.0,,,,1
2.6059094813792774,0,,,,,,1
2.329326366833719,0,,,,,,1
2.559246849636905,0,,,,,,1
2.7877361857212195,0,,,,,,1
2.78293802234625,0,,,,,,1
2.726712015097456,0,,,,,,1
2.588703784194344,1,2.9711110573227866,1.0,1.0,1.0,2.30580219037257,1
2.3332463244884734,1,2.6948973450564675,1.0,1.0,1.0,1.9474880660122311,1
2.6535087006262668,0,,,,,,1
2.5985732544893483,0,,,,,,1
2.6387591351246584,0,,,,,,1
2.8717409025970126,1,2.9956876334622637,1.0,1.0,1.0,2.6264228942521965,1
2.6557512027896673,1,2.942715458165409,1.0,0.0,,,1
2.670480484065929,1,2.855646364882876,1.0,1.0,1.0,2.25811859463695,1
2.7227464140223314,1,2.8549595163297847,1.0,0.0,,,1
2.5857610999725784,0,,,,,,1
2.5209321946263765,1,2.932567870361434,1.0,1.0,1.0,2.1952777076563197,1
2.5093242022348226,0,,,,,,1
2.748479894683033,1,2.8960318971888306,1.0,1.0,1.0,2.4930216658980133,1
2.7067620839463604,0,,,,,,1
2.5487229781144096,1,2.666231306330895,0.0,,,,1
2.8098019861108448,0,,,,,,1
2.655854210812164,1,2.634499421899194,0.0,,,,1
2.413485535753618,0,,,,,,1
2.7228706512586323,1,2.951452023312534,1.0,0.0,,,1
2.60437466426333,0,,,,,,1
2.415300508738912,0,,,,,,1
2.70850004686938,1,2.9069688248036423,1.0,1.0,1.0,2.3100071891526754,1
2.5717317415498346,0,,,,,,1
2.5641761774354555,1,2.972918144551612,0.0,,,,1
2.720329710836441,1,2.834575677351495,0.0,,,,1
2.277992708407276,0,,,,,,1
2.423488089315714,0,,,,,,1
2.5590606772644318,0,,,,,,1
2.666161035950728,1,2.801151246484764,1.0,0.0,,,1
2.520812811138118,1,2.817721310089343,1.0,0.0,,,1
2.468094387483249,1,2.8894790212195964,0.0,,,,1
2.4592384277470476,0,,,,,,1
2.6079027697608197,1,2.972543653598603,1.0,1.0,1.0,2.13976526889773,1
2.7338624885530427,1,2.9355145031832577,0.0,,,,1
2.396032425780289,0,,,,,,1
2.295816869378891,1,2.6411633491831212,0.0,,,,1
2.5792736742496736,0,,,,,,1
2.565817533008261,0,,,,,,1
2.4820425358358715,0,,,,,,1
2.7238028618396193,1,2.937877044599531,0.0,,,,1
2.7544677872669294,0,,,,,,1
