z,Surv,z1,Repr,Sex,Recr,Rcsz,yr
2.574231597441135,1,2.6928355771251176,0.0,,,,1
2.350597348162859,0,,,,,,1
2.6506464480249763,0,,,,,,1
2.5693616760944122,0,,,,,,1
2.618475291496471,1,2.9041764768096234,1.0,1.0,1.0,2.2452760024896947,1
2.3950714557192048,0,,,,,,1
2.697979371076398,1,2.920842067536069,0.0,,,,1
2.2143362972038436,0,,,,,,1
2.6251159160302757,1,2.900313560997199,0.0,,,,1
2.4850366793218273,1,2.7745895751404124,1.0,1.0,1.0,1.9816706909367157,1
2.624704492701792,1,2.767923040203152,0.0,,,,1
2.7682618601979327,0,,,,,,1
2.546824835685553,1,2.768447340149505,0.0,,,,1
2.6128240960415687,1,2.7954612161189427,0.0,,,,1
2.4876257627641767,0,,,,,,1
2.6914525416077084,1,2.930247623988282,0.0,,,,1
2.7969033237818306,1,2.9761730467570864,1.0,1.0,1.0,2.6420468419066823,1
2.5099632003358394,0,,,,,,1
2.711971930787339,1,2.920006848378626,1.0,1.0,1.0,1.9552497566319014,1
2.822249370071053,0,,,,,,1
2.668371682055814,0,,,,,,1
2.8193652907254534,1,2.873202483890445,0.0,,,,1
2.491462300008634,0,,,,,,1
2.715258733191826,0,,,,,,1
2.5147231912778136,1,2.7654454622327367,1.0,1.0,1.0,2.117444819535049,1
2.5344223304386686,0,,,,,,1
2.496477495259052,1,2.9093373893563874,0.0,,,,1
2.64881476805624,1,3.0376256392653636,1.0,1.0,1.0,1.8278304299770933,1
3.0379667103478787,1,3.0607730814090517,1.0,1.0,1.0,2.4082439390459056,1
2.714255210593754,1,2.9956372215172875,1.0,0.0,,,1
2.698546554802756,1,2.847693714867774,1.0,1.0,1.0,2.4469279539439257,1
2.530636921690054,1,2.7857151821198376,1.0,0.0,,,1
2.483456245579816,1,2.7316894591471352,0.0,,,,1
2.753294100308073,1,2.8971306511371977,1.0,0.0,,,1
2.4107040649238063,1,2.64898269000131,0.0,,,,1
2.570261363991245,0,,,,,,1
2.412689845525049,1,2.767932921313949,0.0,,,,1
2.67389048017247,1,2.842932416573885,1.0,0.0,,,1
2.4532683332433503,0,,,,,,1
2.7879880206572913,1,3.0405955577402444,0.0,,,,1
2.6812658164339735,1,2.913177699387951,1.0,1.0,1.0,2.3226149468776187,1
2.534858589916235,0,,,,,,1
2.556985912042738,1,2.7004570401748325,0.0,,,,1
2.608871889730659,1,2.8834004231267407,1.0,1.0,1.0,1.8811487452166216,1
2.372739100134161,1,2.7773627552984586,0.0,,,,1
2.5575938443627266,1,2.758550599654126,1.0,0.0,,,1
2.7128342351144816,1,3.058785745138403,1.0,1.0,1.0,2.5140997010327664,1
2.7325100975353385,1,2.9112335301497767,0.0,,,,1
2.8587395889568668,1,2.987367907486294,0.0,,,,1
2.6895853034483324,1,3.1148562004294074,1.0,0.0,,,1
2.4564610990317925,0,,,,,,1
2.3693588127196774,1,2.8265326378849176,0.0,,,,1
2.7913065739893925,1,2.9988002872506074,1.0,0.0,,,1
2.7288595289179067,0,,,,,,1
2.508084843191505,0,,,,,,1
2.940009253483534,1,3.0776864946538454,0.0,,,,1
2.599318173260832,0,,,,,,1
2.5941618100003945,1,2.8327471869973877,0.0,,,,1
2.463273856736198,1,2.776761142861699,1.0,1.0,1.0,2.123912213986537,1
2.810313799003425,1,2.964163745571713,0.0,,,,1
2.542767718978628,0,,,,,,1
2.694138653500257,1,3.0489745491571125,1.0,1.0,1.0,2.2493889487057777,1
2.6298279847017922,1,2.909959169781534,1.0,1.0,1.0,2.1244690239955872,1
2.789308117236204,1,2.9390878294587126,0.0,,,,1
2.66039410431115,0,,,,,,1
2.582114849529088,1,2.9444131024083067,0.0,,,,1
2.6812749173940493,1,2.940543497321668,1.0,1.0,1.0,2.145909521584806,1
2.7372741358684407,0,,,,,,1
2.6608819157621317,1,2.810964893958608,0.0,,,,1
2.6583930611795985,1,2.8483895320488566,0.0,,,,1
2.587522528092963,0,,,,,,1
2.9558708815738193,1,3.064028572699582,1.0,0.0,,,1
2.740228725927653,1,3.062820251398692,0.0,,,,1
2.897081857758253,1,3.0417168873160603,1.0,0.0,,,1
2.6492716686237303,1,2.940031438970337,0.0,,,,1
